App,Label,VIDEO,BLUETOOTH_INFORMATION,CALENDAR_INFORMATION,SMS_MMS,ACCOUNT_INFORMATION,EMAIL_INFORMATION,FILE_INFORMATION,SYNCHRONIZATION_DATA,PHONE_CONNECTION,NETWORK,AUDIO,IMAGE,ACCOUNT_SETTINGS,VOIP,FILE,DATABASE_INFORMATION,NETWORK_INFORMATION,HARDWARE_INFO,NFC,SYSTEM_SETTINGS,CONTACT_INFORMATION,VOIP_INFORMATION,PHONE_INFORMATION,EMAIL_SETTINGS,PHONE_STATE,BROWSER_INFORMATION,NO_CATEGORY,LOG,BLUETOOTH,UNIQUE_IDENTIFIER,INTER_APP_COMMUNICATION,EMAIL,ALL,LOCATION_INFORMATION
benign-app-71-A13B20EA64AFCDA2888F8AE6ECD6AB26342C4A827A7835F902827047B6C3A4A3.apk,0,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,117,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,12
malicious-app-43-3F0880FFBF4F6460C88CBCDEAD1C756A91777E16DA81B856F2395F44CD644B33.apk,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,93,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
benign-app-73-A4700D4E61E4F2D8035BFB616A668B3993A1C3638239065D9368D6E7DA746F12.apk,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,112,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,13
malicious-app-41-2C7FD0C6612B20A767FF3A371CB0F91DFE5CC47813FB7E887060AB579EFB8E39.apk,1,9,9,11,9,9,9,9,9,9,9,9,9,9,9,9,9,469,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,11
malicious-app-25-9B2D970A9793E49EF92DD5C70641D793490C831420E0BFD68AB19740179CCC58.apk,1,9,9,12,9,9,9,9,9,9,9,9,9,9,9,9,9,208,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,15
malicious-app-96-2FD24702BAC1EED33EDCC85A2846738E0A6C869D1B40719F2399CC3EDE6C56D5.apk,1,9,9,11,9,9,9,9,9,9,9,9,9,9,9,9,9,240,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,22
malicious-app-79-C542BBC89667062BDD8884E94F1BC43F47E5D4A6C3F382509A75E6B299BCCF94.apk,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,73,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
malicious-app-55-3EB5D250E17A2A3BBEA914C5C4B7DE0CE94EED936EC4158F417D65CF75E26696.apk,1,8,18,10,8,8,8,8,8,8,8,8,8,8,8,8,8,170,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
benign-app-98-D071652EBF545CBE1DE98E1AB0A47457060B8804A1CF2F1BF502B42F68C64C98.apk,0,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,362,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,11
benign-app-27-34A68DD3A89F62894D45DBE134E403D97BF76360DEFC507BB1BABEDC9B0D120F.apk,0,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,411,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,12
benign-app-49-75E6D38D05B0D27404863BB9B32DA36DC31BE2F6A3FE03D04216E70D58D79C72.apk,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,352,7,7,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7
malicious-app-22-BF2CEE975F95856A79757A54788DBA887B373C94046BE81EC338BCD34B830836.apk,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,136,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9
